ID,name,dateOfBirth,placeOfBirth,dateOfDeath,placeOfDeath
608,Jeffrey Smith,1959-03-03,"North Ashley, Argentina",1999-06-24,"Douglasstad, Slovenia"
609,Veronica Kennedy,1967-07-16,"Lake Matthew, Mexico",2019-01-13,"North Stephanie, French Southern Territories"
610,Terry Jackson,1966-02-20,"Maryberg, Gambia",2023-12-12,"Lake Taraland, Saint Helena"
611,Christopher Jordan,1984-07-21,"Benjaminside, Portugal",2024-08-30,"North Gwendolynmouth, Mexico"
612,Stephanie Roberts,1940-07-25,"Mirandaland, Mauritania",1991-12-27,"Solismouth, Madagascar"
613,Lauren Parker,1964-08-25,"Parksborough, Czech Republic",2023-04-23,"Milesfurt, Saint Kitts and Nevis"
614,Edward Perez,1970-05-25,"Port Brandon, Qatar",2023-08-05,"East Aaronland, Heard Island and McDonald Islands"
615,Carl Cobb,1962-12-06,"South Michaelberg, Comoros",2024-06-23,"Mcintyreberg, Luxembourg"
616,Kristie Henry,1950-12-01,"Lake Sarah, Liberia",2025-05-10,"Bettyport, Solomon Islands"
617,Shannon Kerr,1953-10-17,"New Luis, Macedonia",2021-08-09,"West Stephanie, Afghanistan"
618,Donna Thomas,1953-01-17,"East Michele, Seychelles",2013-09-20,"Dylanburgh, Norway"
619,Richard Jenkins Jr.,1964-01-05,"Gallegostown, Iran",2004-04-01,"Port Tinahaven, Micronesia"
620,Douglas Ray,1946-10-29,"Phillipfurt, Pitcairn Islands",2001-02-22,"Port Lauren, Angola"
621,Dr. Timothy Rose,1973-11-08,"Richardsonberg, South Georgia and the South Sandwich Islands",2014-06-03,"Port Trevor, Chile"
622,Rhonda Chaney,1953-12-04,"Erikamouth, South Georgia and the South Sandwich Islands",2001-08-20,"Kington, Brunei Darussalam"
623,Sandra Ball,1941-07-23,"Chantown, Congo",2020-11-14,"Lake Aaronhaven, Japan"
624,Ronald Moore,1963-01-19,"West Anthonyhaven, Macedonia",2012-01-03,"Millerhaven, China"
625,Tammy Mann,1960-01-03,"East Andrew, Tuvalu",2015-07-06,"Johnshire, Botswana"
626,Mason Smith,1957-02-17,"Everettshire, Micronesia",2013-08-30,"West Kelly, Malawi"
627,Richard Ayala,1938-03-22,"Rachelshire, Greece",2012-09-14,"Lunatown, Serbia"
628,Denise Hall,1952-08-05,"Sanchezfort, Senegal",2018-05-11,"Karenberg, Tunisia"
629,Vickie Mcguire,1946-07-18,"Josephchester, Guadeloupe",1991-01-05,"Molinaberg, Spain"
630,Robert Smith,1978-05-31,"New Kristinatown, Moldova",2025-01-29,"West Williamton, Argentina"
631,Ruben Harris,1979-07-12,"Maryview, Niue",2020-04-30,"Cortezfurt, Falkland Islands (Malvinas)"
632,Jennifer Moss,1963-06-13,"Briannashire, Cote d'Ivoire",2009-04-18,"Wilsonchester, United Kingdom"
633,Brittany Rivera,1982-04-28,"Marioside, Guadeloupe",2022-06-11,"Johnstad, Lithuania"
634,Brian Larson,1957-12-05,"Adamschester, Greenland",2006-09-24,"New Robert, Cayman Islands"
635,Adrian Green,1939-07-29,"Victoriaborough, Czech Republic",1984-11-26,"Mcdonaldmouth, Ukraine"
636,Earl Burns,1980-09-30,"Blakeview, Svalbard & Jan Mayen Islands",2024-11-08,"East Devinton, Senegal"
637,James Woodward,1979-11-03,"South Grace, Gibraltar",2024-12-09,"Andrewbury, Mauritania"
638,Rebecca Nguyen,1936-08-11,"Port Jeffreyton, United States Virgin Islands",1999-06-19,"Grahamhaven, Azerbaijan"
639,Brett Rodriguez,1944-05-12,"Elliottburgh, Guadeloupe",1996-04-29,"South Carrie, Philippines"
640,Melissa Vance,1936-05-21,"West Jessica, United States Minor Outlying Islands",1977-10-01,"Jacobville, Hungary"
641,Deborah Robertson,1970-04-04,"Carolchester, Congo",2021-02-18,"Combshaven, Rwanda"
642,Douglas Christensen,1945-03-07,"Sarahtown, Saint Martin",1985-11-07,"Port Dale, Luxembourg"
643,Kathy Brown,1954-02-27,"Keyton, Svalbard & Jan Mayen Islands",1996-04-07,"Lake Erinland, Turkey"
644,Jose Carrillo,1977-01-09,"Taylorstad, Falkland Islands (Malvinas)",2018-02-05,"East Daniel, Philippines"
645,Gina Hill,1977-01-14,"Schmidtview, Wallis and Futuna",2020-01-07,"Fieldsmouth, Japan"
646,Catherine Harris,1984-10-21,"Davidland, Micronesia",2025-07-15,"West Kimberly, Ukraine"
647,Debra Glover,1959-04-24,"North Jeremy, Bangladesh",2017-01-22,"Patrickfort, Namibia"
648,John Hawkins,1980-07-02,"Patriciafort, Turks and Caicos Islands",2025-04-19,"North Jasonside, San Marino"
649,Robin Parker,1938-06-16,"Wendyberg, Brazil",1984-01-14,"Lake Suzanneland, Iran"
650,Patricia Olson,1974-08-06,"Deborahtown, Palestinian Territory",2019-06-24,"South Rick, Antigua and Barbuda"
651,Michael Williamson,1970-07-28,"Gilmoretown, Greece",2021-05-04,"New Jacquelinestad, Saint Pierre and Miquelon"
652,Emily Paul,1941-10-27,"Port Jordan, Palau",2006-11-22,"West Michael, Jamaica"
653,Jennifer Berry,1936-05-13,"Palmerview, Tajikistan",2014-04-23,"East Krystal, Croatia"
654,Patty Ward,1961-06-28,"New Timothy, Barbados",2022-02-23,"South Kristen, Sudan"
655,Lisa Howard DDS,1958-10-29,"Nicoleshire, Western Sahara",2011-10-14,"Julieview, Angola"
656,Frederick Baldwin,1953-02-04,"West Cynthiaville, French Polynesia",2005-06-01,"Ashleyview, Guam"
657,Angela Burton,1983-08-24,"Timothyshire, Cyprus",2023-08-30,"Justintown, Montenegro"
658,Nancy Baker,1981-11-05,"East Thomas, Vietnam",2025-07-09,"South Sarah, Cape Verde"
659,Bradley Jones,1973-01-28,"Travischester, Gabon",2019-01-17,"Johnsonton, Central African Republic"
660,Michael Duncan,1949-02-13,"Lake Tracyberg, Israel",1997-11-29,"Port Logan, Niue"
661,Kevin Wise,1965-09-25,"East Monique, Niger",2024-03-15,"Port Adam, Palau"
662,Melanie Hickman,1951-11-01,"Lake Lisaville, Liberia",2010-10-21,"Francoburgh, Poland"
663,Steven Ibarra,1970-10-26,"Kristenhaven, Myanmar",2022-02-06,"West Tylerhaven, Djibouti"
664,Scott Donaldson,1969-10-08,"East Ann, Trinidad and Tobago",2024-05-24,"Gonzalezville, Guadeloupe"
665,Anthony Walsh,1938-07-08,"East Daniel, Pakistan",1993-06-20,"South Rebeccastad, Wallis and Futuna"
666,Dana Cook,1945-01-15,"Anthonyberg, British Indian Ocean Territory (Chagos Archipelago)",2017-06-11,"East Devin, Puerto Rico"
667,George Mcclure,1984-05-13,"Port Jesseville, New Caledonia",2025-05-01,"Justinbury, French Guiana"
668,Michael Archer,1974-03-29,"North Lorraineside, Svalbard & Jan Mayen Islands",2023-04-06,"Georgehaven, Central African Republic"
669,Stephanie Williams,1983-12-29,"West Joannachester, Ireland",2025-04-14,"Port Ellen, Niue"
670,Debra Buchanan,1955-02-20,"Washingtonville, Chad",2020-08-15,"Robertchester, Oman"
671,Melissa Mccoy,1978-07-23,"Nataliechester, Mayotte",2018-12-20,"Patelburgh, Svalbard & Jan Mayen Islands"
672,Helen Harris,1937-09-11,"Meganmouth, Peru",1988-03-02,"Port Sandra, Kiribati"
673,Jessica Romero,1984-10-15,"New Josephport, Turks and Caicos Islands",2024-11-03,"South Heather, Iraq"
674,Blake Ortiz,1961-08-08,"Rodriguezburgh, Belarus",2014-12-23,"Port Nicholas, Saint Kitts and Nevis"
675,Julie Jones,1960-06-30,"New Angeltown, Angola",2025-08-25,"Lake Billchester, Iceland"
676,Danielle Fields,1969-08-19,"North Russell, Jordan",2023-01-02,"East Charles, Cameroon"
677,Michelle Gilbert,1977-04-02,"Williamsville, Kenya",2021-10-17,"East Brian, United Arab Emirates"
678,Mr. Brian Williams,1962-09-25,"Lake Melissafurt, Liberia",2004-11-01,"Owensburgh, Croatia"
679,Norman West,1956-01-11,"Ryanside, Nepal",2015-11-04,"Jeromebury, Kazakhstan"
680,Michael Thompson,1980-07-14,"Stevensville, Djibouti",2024-06-27,"Barberhaven, Tajikistan"
681,Jessica Osborne,1951-03-31,"Cookfort, Andorra",2000-08-14,"Esparzahaven, Mauritania"
682,Carlos Mitchell,1955-07-03,"South Joshualand, Ghana",2003-03-26,"Lake Lauraborough, France"
683,Ronnie Fry,1953-01-30,"Crystalchester, Ukraine",2001-11-19,"East Albert, Tunisia"
684,Jennifer Myers,1941-11-03,"Tammystad, Central African Republic",1988-06-08,"North Johnshire, Mali"
685,Shaun Crawford,1944-05-04,"Lake Daniel, Bosnia and Herzegovina",2022-01-20,"Brandonside, Afghanistan"
686,Samuel Chan,1947-06-24,"Wuville, Guinea-Bissau",1989-02-19,"Jenniferton, Trinidad and Tobago"
687,Rhonda Mosley,1943-06-30,"Hullmouth, France",2011-05-04,"East Barry, Lebanon"
688,Billy Williams,1983-03-01,"Michaelton, Venezuela",2025-01-29,"New Lauraberg, Suriname"
689,Sierra Ball,1983-04-14,"East Paul, Saint Barthelemy",2024-09-18,"Elizabethfort, Netherlands Antilles"
690,Jordan Benjamin,1982-02-08,"Lake Codyhaven, Grenada",2024-03-25,"Nicholsonmouth, Philippines"
691,Troy Benson,1956-11-22,"Jessicafurt, Korea",2015-02-01,"Ferrellmouth, Brunei Darussalam"
692,Jason Haynes,1978-03-08,"South Jessicatown, El Salvador",2023-12-31,"Davidbury, Cameroon"
693,Micheal Ritter,1966-07-07,"Stephensstad, Yemen",2006-12-27,"Johnmouth, Lesotho"
694,Mark Ramirez,1937-03-30,"Jonathanburgh, Isle of Man",1981-06-07,"Castillomouth, Maldives"
695,John Schmidt,1981-06-22,"North Christineport, Kazakhstan",2022-05-16,"Clarkville, American Samoa"
696,Brent Hubbard,1940-09-10,"West Melissa, French Southern Territories",1984-11-12,"Cindymouth, Finland"
697,Tamara Edwards,1953-05-03,"New Elizabeth, Maldives",1993-07-07,"Alvarezview, Lesotho"
698,Bobby Burns,1939-12-07,"Christineville, Tuvalu",2015-02-22,"South Sarah, Lao People's Democratic Republic"
699,William Smith,1968-03-09,"Trevorville, Palestinian Territory",2010-02-18,"Derekside, French Southern Territories"
700,Austin Sanchez,1953-01-01,"Danieltown, Anguilla",2023-09-13,"Josephfort, Israel"
701,Jill Haney,1982-02-04,"Port Michellehaven, Somalia",2025-05-19,"North Lawrence, Liberia"
702,Todd Sawyer,1985-08-29,"East Morgan, Poland",2025-08-29,"Turnerport, Central African Republic"
703,Jacob Daniels,1951-11-26,"West Barbaraville, Saint Barthelemy",2022-01-09,"East Jamesshire, Australia"
704,Michael Tate,1941-05-30,"Foxmouth, Cape Verde",1988-06-28,"Romeroside, Cyprus"
705,Timothy Fuller,1977-01-08,"Stricklandstad, Cambodia",2023-04-14,"Mariashire, Albania"
706,Cory Sims,1966-08-14,"New Matthewtown, Oman",2007-11-16,"New Shawnachester, Myanmar"
707,Leslie Butler,1962-06-30,"New Michael, Botswana",2010-10-08,"Jenniferfurt, Bouvet Island (Bouvetoya)"
708,Dr. Penny Harris,1944-10-25,"Lake Nathanielville, Burundi",1994-05-18,"Williamshire, Hungary"
709,Steven Murray,1964-05-02,"South Daniel, Bhutan",2015-06-15,"Danieltown, Malawi"
710,Anne Kirk,1969-08-30,"Amandaport, French Guiana",2023-09-17,"Alanland, Reunion"
711,Julia Ramirez,1973-05-28,"North Nancy, Lesotho",2014-09-27,"Thomasburgh, Papua New Guinea"
712,Elizabeth Richard,1977-02-06,"New Stacie, El Salvador",2018-07-10,"Petersonside, New Caledonia"
713,Sherry Fuentes,1969-09-13,"Lake Elaineport, Northern Mariana Islands",2022-03-03,"New Hectorport, Italy"
714,Mark Bell,1971-03-10,"North Dorothyfurt, Cambodia",2025-06-26,"Lake Ronald, Wallis and Futuna"
715,Christopher Nelson,1959-06-06,"Christopherbury, South Africa",2016-03-31,"Phyllisfort, Croatia"
716,Mary Kim,1960-12-07,"Crystaltown, Hungary",2007-03-21,"Russellview, Pakistan"
717,Samantha Shaw,1935-02-28,"Reginafort, Guam",1980-05-21,"East Seanberg, Ukraine"
718,Melissa Powers,1985-08-19,"Carolmouth, Georgia",2025-08-19,"Susanbury, El Salvador"
719,Joshua Nelson,1935-05-20,"West Todd, Monaco",1991-09-28,"Donnahaven, Denmark"
720,Steve Martinez,1962-05-13,"Alexandraburgh, Saint Helena",2022-09-04,"Huffmanport, Netherlands Antilles"
721,Benjamin Perry,1959-08-15,"East Billchester, Saint Lucia",2003-04-03,"Port Brandi, Bouvet Island (Bouvetoya)"
722,Joseph Davis,1981-01-24,"Mckinneyhaven, Taiwan",2025-01-25,"Garyburgh, Mexico"
723,Erin Scott,1936-02-12,"Smithstad, Faroe Islands",1984-01-21,"West Dennismouth, Monaco"
724,Leslie Bowen,1940-12-05,"Masonport, Sudan",2001-03-06,"West Rachel, Aruba"
725,Jean Frank,1958-05-21,"Davisside, Lithuania",2008-02-27,"Parksville, Mozambique"
726,Shane Herrera,1953-09-23,"Mitchellfort, Germany",1995-08-23,"Shahhaven, Mexico"
727,William Mahoney,1977-03-27,"Douglasmouth, Niger",2020-10-19,"New Larrychester, Kyrgyz Republic"
728,Joseph Huber,1982-09-03,"East Dawn, Zambia",2023-06-11,"New Albert, Anguilla"
729,Traci Smith,1935-08-29,"Glennfort, Guam",2025-04-13,"South Helen, Congo"
730,Joshua Burns,1952-04-18,"East Christopher, Qatar",2004-01-29,"Matthewmouth, Djibouti"
731,Brett Potter,1964-01-22,"Lake Luis, Angola",2024-10-05,"Nicholeborough, Guam"
732,Gary Hall,1950-04-28,"Christianfurt, Luxembourg",1996-05-03,"Malloryville, Bangladesh"
733,Courtney Robinson,1952-09-27,"Lake Robinmouth, Saint Kitts and Nevis",1992-10-30,"Johnsonbury, Cocos (Keeling) Islands"
734,Kimberly Kelly,1966-01-21,"West Nathan, Monaco",2008-09-01,"Phelpsborough, Nigeria"
735,Sarah Rose,1967-09-21,"South Cheryl, Iraq",2010-02-09,"Lake Sheilaville, American Samoa"
736,Keith Mack,1951-09-27,"West Marissaview, Greenland",2006-07-03,"Smithmouth, Central African Republic"
737,Megan Davis,1954-09-21,"Youngport, Mexico",2000-09-30,"Joycestad, Isle of Man"
738,Andrew Rogers,1953-11-28,"Tammyton, Saint Kitts and Nevis",2020-10-27,"Johnsonfurt, Malaysia"
739,Mariah Cruz,1982-04-19,"North Jamesville, Guam",2025-07-14,"Lake Matthew, Equatorial Guinea"
740,Crystal Salazar,1957-12-04,"Nelsonside, Bouvet Island (Bouvetoya)",2013-03-19,"Dustinbury, Jersey"
741,Cassandra Gonzalez,1943-05-16,"Lanceport, French Polynesia",1997-01-04,"Lake Renee, British Indian Ocean Territory (Chagos Archipelago)"
742,Joan Matthews,1954-11-04,"Amyberg, Tuvalu",2017-06-11,"Wilsontown, Indonesia"
743,Tiffany Galvan,1963-11-27,"Grayborough, Oman",2018-06-16,"South Williambury, France"
744,Michael Richards,1970-08-26,"South Michael, Zambia",2017-03-21,"Port Rodney, Georgia"
745,Brian Spence,1982-08-09,"East Sarahville, Cyprus",2022-11-10,"Howardville, Pitcairn Islands"
746,Shawn Robinson,1981-01-10,"Nancyhaven, Antarctica (the territory South of 60 deg S)",2022-05-26,"Crystalport, Brazil"
747,Jamie Ross,1953-03-20,"Mathischester, Australia",2022-09-18,"East Richardmouth, Malawi"
748,Ryan Leon,1942-08-26,"Heatherstad, United States Minor Outlying Islands",2014-07-11,"New Samuelshire, Liberia"
749,Jason Thompson,1943-11-30,"North Shane, Thailand",1986-03-21,"Tonyafort, Guinea"
750,Matthew Wade,1974-07-08,"West Noahfort, Holy See (Vatican City State)",2025-05-24,"Warrenshire, Jersey"
751,Joshua Allen,1950-08-16,"South Debra, Marshall Islands",2020-12-30,"New Jacqueline, France"
752,Cody Cruz,1968-08-01,"Port Jennifer, Niue",2022-04-17,"North Victoriaton, British Indian Ocean Territory (Chagos Archipelago)"
753,Victor Kemp,1949-04-07,"Kellyland, Brunei Darussalam",2008-02-21,"North Michael, Gambia"
754,Shannon Taylor,1940-10-27,"New Joshuahaven, Hungary",2011-11-23,"Amystad, India"
755,Suzanne Mcclure,1969-11-07,"Port Steven, Austria",2025-05-04,"Bradleymouth, New Caledonia"
756,Jonathan Thompson,1985-05-10,"East Suzannefort, Benin",2025-06-16,"Port Sharonview, Equatorial Guinea"
757,Karla Scott,1940-01-12,"Port Nicholas, Ireland",2011-03-01,"Danielsville, Antigua and Barbuda"
758,Laurie Wright,1949-05-05,"East Danny, British Indian Ocean Territory (Chagos Archipelago)",2003-12-20,"Lake Keith, Greenland"
759,Thomas Cobb,1937-11-01,"North Charlesbury, Iran",2004-10-19,"Port Janeville, France"
760,Jerry Jones,1951-02-13,"Port Hannah, Niue",2006-08-06,"West Jefferyview, Angola"
761,Jason Baker,1962-02-15,"Bradyborough, Australia",2020-11-29,"Michaelstad, Ireland"
762,Emily Carr,1968-07-24,"Mayberg, Austria",2023-05-23,"Jenniferhaven, Pitcairn Islands"
763,Jared Davis,1971-10-26,"Bryantland, Wallis and Futuna",2021-10-25,"North Jacqueline, Brunei Darussalam"
764,Casey Thornton,1973-02-11,"Jenniferview, Saudi Arabia",2017-02-14,"Davidville, Netherlands"
765,Richard Brown,1953-09-24,"North Cynthiaview, Netherlands Antilles",2009-06-17,"North Sarah, Marshall Islands"
766,Shelby Davis,1981-08-10,"Anthonymouth, Russian Federation",2022-12-07,"South Christinabury, Aruba"
767,Jonathan Mitchell,1944-04-11,"Montgomeryview, Holy See (Vatican City State)",2019-06-25,"East Jamieton, Japan"
768,Joseph Wall,1975-09-13,"West Williammouth, Anguilla",2021-04-13,"Robertomouth, Cape Verde"
769,Kevin Mcpherson,1940-12-02,"Port Ana, French Polynesia",2025-05-25,"South Ryanchester, Colombia"
770,Anne Roberts,1965-08-01,"Salashaven, Israel",2016-07-28,"West Michael, Somalia"
771,Victoria Fitzpatrick,1969-11-06,"Port Davidmouth, British Indian Ocean Territory (Chagos Archipelago)",2010-04-08,"Elizabethhaven, British Virgin Islands"
772,Gregory Foster,1944-07-08,"Hollyborough, Bosnia and Herzegovina",1994-05-20,"Lake Morgan, Pakistan"
773,Craig Cunningham,1945-07-12,"Donnaberg, Lesotho",1999-11-02,"Lake Sherry, Gambia"
774,Stephen Vargas,1979-09-17,"Gutierrezchester, Georgia",2023-09-26,"East Rebecca, Azerbaijan"
775,Amy Harris,1940-01-14,"Danielland, French Southern Territories",2025-02-02,"North Brian, United States Virgin Islands"
776,Clayton Kelley,1946-07-29,"Garciaville, Solomon Islands",1998-12-20,"New Seanview, Malaysia"
777,Dana Johnson,1953-03-16,"Thompsonmouth, Mexico",2013-03-28,"Hollyfort, Lesotho"
778,Travis Green,1953-05-19,"North Melissaside, Venezuela",1998-11-16,"West Ashleyborough, Finland"
779,Melissa Best,1965-11-13,"East Annmouth, Luxembourg",2024-12-15,"East Jeremiahport, Tunisia"
780,Eric Weaver,1952-06-17,"Teresaview, Somalia",2011-08-29,"Port Desireetown, Brazil"
781,Johnathan Rodriguez,1975-01-17,"North Ashley, Afghanistan",2020-05-19,"Port Kristopherhaven, Maldives"
782,Joseph White,1977-12-18,"Teresafurt, Bosnia and Herzegovina",2025-07-10,"Sandraburgh, British Indian Ocean Territory (Chagos Archipelago)"
783,Adam Briggs,1976-05-31,"Port Janice, Ireland",2017-08-19,"North Cheryltown, Western Sahara"
784,Anna Robertson,1948-06-02,"Port Casey, Montserrat",1992-11-18,"Cookeview, Sudan"
785,Becky Miller,1984-05-06,"Lake Joshua, Ethiopia",2024-08-06,"North Melissa, Iraq"
786,Daniel Bishop MD,1961-06-21,"New James, Cote d'Ivoire",2021-03-16,"Randalltown, Papua New Guinea"
787,Mark Banks MD,1967-08-18,"East Pamela, Czech Republic",2023-10-13,"Jensenland, Equatorial Guinea"
788,Alejandro Morales,1945-04-07,"Flowerston, Greece",2004-02-04,"West Jeffburgh, Saint Kitts and Nevis"
789,Lisa Clark,1938-07-23,"Smithside, Pakistan",1983-04-29,"Cynthiaburgh, Iran"
790,Melinda Carter,1985-03-17,"East Davidview, United States of America",2025-08-19,"Port Keith, India"
791,Emily Perkins,1981-02-24,"Roberttown, Armenia",2024-07-24,"Port Billy, Holy See (Vatican City State)"
792,Brandon Pugh,1944-11-16,"Jacksonland, Mauritius",1987-05-03,"South Ivan, Tanzania"
793,Michael Haynes,1958-11-24,"North Mikaylatown, Macedonia",2018-04-18,"Stanleychester, Macedonia"
794,Kimberly Cruz,1981-05-03,"Heidibury, Tuvalu",2024-01-07,"Toddside, Myanmar"
795,Troy Ferguson,1952-09-03,"Jesseberg, Cameroon",2003-01-10,"North Nicholas, Lithuania"
796,Kyle Johnston,1943-10-16,"Jonesmouth, Guyana",2023-09-18,"North Wandaton, British Virgin Islands"
797,Vanessa Butler,1966-01-01,"South Staceyton, Spain",2011-12-28,"West Kaylatown, Korea"
798,Tara Young,1976-09-14,"Richardview, Mozambique",2025-05-20,"New Catherineberg, Thailand"
799,Laura Gardner,1977-07-18,"Erinchester, Uzbekistan",2017-08-26,"East Jason, Macao"
800,Michaela Alvarez,1972-06-02,"West Elizabethborough, Niger",2014-12-15,"Youngport, San Marino"
801,Diana Richards,1937-04-13,"Lake Joseph, Liberia",2007-06-16,"Floresview, Wallis and Futuna"
802,Leah Clark,1952-11-28,"South Adamland, Norfolk Island",2023-05-20,"Ramirezport, Turks and Caicos Islands"
803,Matthew Jackson,1962-01-03,"Walkerview, Ukraine",2012-09-01,"Lake Jennifer, Namibia"
804,Rhonda Swanson,1980-12-25,"South Laura, Reunion",2021-04-21,"Lake Jacob, Myanmar"
805,Deanna Lynch,1943-04-23,"Suzannemouth, Nicaragua",2001-03-21,"East Lisa, Saint Helena"
806,Rhonda Lucas,1976-04-22,"Port Heather, Vietnam",2020-06-15,"South Samantha, Nigeria"
807,Morgan Willis,1939-08-29,"Sallyborough, Hong Kong",2025-02-24,"North Donna, Malta"
808,Noah Holt,1942-02-03,"North Peter, Turks and Caicos Islands",1996-05-31,"South Scottmouth, Haiti"
809,Christopher Bright,1975-04-10,"Elizabethport, Malta",2023-06-05,"Reevesbury, Gibraltar"
810,Justin Molina,1957-07-08,"North Kristin, Portugal",2021-07-18,"East Timothy, Mauritius"
811,Omar Black,1950-08-25,"Michaelfurt, Ethiopia",2022-01-08,"Johnnyfort, Niue"
812,Robert Jennings,1945-07-21,"East Bryanland, Costa Rica",2023-11-27,"Campbellshire, Saudi Arabia"
813,Zachary Wilson,1952-10-01,"South Brianview, Macedonia",1999-08-30,"East Caitlin, Botswana"
814,Sabrina Lewis,1979-11-29,"Marybury, Saint Vincent and the Grenadines",2019-12-07,"West Scott, Macedonia"
815,Michael Mcdonald,1975-10-03,"South Bill, Japan",2022-10-17,"Gentrychester, Armenia"
816,Nathan Wright,1952-10-10,"Lake Marcfurt, Puerto Rico",2022-07-20,"Mccormickton, Bolivia"
817,Tanya Logan,1941-12-06,"South Christopher, Sao Tome and Principe",1995-10-05,"Raymondton, Slovenia"
818,Vincent Ruiz,1960-07-27,"Butlerside, Christmas Island",2012-03-07,"North Ethan, Slovakia (Slovak Republic)"
819,Briana Conrad,1953-10-18,"West Amandaburgh, Heard Island and McDonald Islands",2022-04-07,"Jenniferport, Korea"
820,Maria Ellis,1953-07-14,"Courtneyberg, Isle of Man",2003-12-30,"West Sean, Burkina Faso"
821,Michael Johnson,1939-08-27,"Lake Michael, Kenya",2017-11-01,"Freemanton, Mexico"
822,Donna Dudley,1966-07-12,"Kristentown, Micronesia",2014-08-24,"Hernandezhaven, Italy"
823,Amanda Castillo,1984-10-04,"Welchville, Barbados",2025-04-02,"Lake Josemouth, British Indian Ocean Territory (Chagos Archipelago)"
824,Brooke Davis,1961-08-06,"South Robin, Niue",2008-08-04,"Erikamouth, Guinea-Bissau"
825,Matthew Bryant Jr.,1953-01-28,"Ryanfort, Morocco",1994-04-18,"Lake Ryan, Uruguay"
826,Justin Simon III,1974-04-18,"Antonioview, Israel",2017-08-31,"Gregoryburgh, Bhutan"
827,William Perez,1984-03-19,"New Kaylaburgh, Kuwait",2024-06-24,"West Elizabethmouth, Somalia"
828,Rebecca Mcmillan,1951-01-18,"South Thomas, Cambodia",2017-10-15,"Perezland, Guyana"
829,Alexander Garcia,1934-10-18,"South Alexandriahaven, Nauru",2017-01-24,"Foxland, Austria"
830,Jasmine Rodriguez,1951-12-09,"Lake Timothytown, Pitcairn Islands",1997-04-02,"Leonberg, Northern Mariana Islands"
831,Jeanne Patrick,1939-03-26,"North Jennifer, Sao Tome and Principe",1983-06-07,"Deanville, Cape Verde"
832,Brian Cruz,1953-07-29,"Smithfort, Seychelles",2011-02-23,"Rachelton, Yemen"
833,Marcus Morrow,1959-03-17,"Andersonbury, Slovakia (Slovak Republic)",2000-08-13,"Jennifermouth, Palestinian Territory"
834,Elizabeth Green,1957-04-21,"North Meredith, Trinidad and Tobago",2010-01-22,"West Rebekah, Svalbard & Jan Mayen Islands"
835,John Garrett,1973-03-08,"Lake Andreafurt, Guyana",2016-08-26,"Lake Brendamouth, Colombia"
836,Jacob Murillo,1975-02-08,"South Anthony, Syrian Arab Republic",2017-08-08,"South Charles, Solomon Islands"
837,Cory Hoffman,1966-10-20,"South Lisa, Papua New Guinea",2010-07-28,"Dodsonfort, Estonia"
838,David English,1939-09-26,"Lake Deanna, Bolivia",2017-08-17,"Willismouth, Jordan"
839,Raymond Johnson,1983-03-22,"Joshuamouth, Niue",2024-03-31,"Jonesport, Hungary"
840,Jennifer Rivas,1953-06-18,"Garzafort, Dominican Republic",2009-02-03,"Jeffreyfort, Sierra Leone"
841,Renee Jones DDS,1958-01-15,"Lake Andreborough, Saint Helena",2014-08-12,"South Garrett, British Indian Ocean Territory (Chagos Archipelago)"
842,Andrea Snyder,1954-07-04,"Port Marilynview, Chad",1996-05-13,"Kimview, Guinea-Bissau"
843,Sandy Jones,1953-03-23,"Nicoleside, Palestinian Territory",2009-12-27,"Port Morganborough, Congo"
844,Elizabeth Bryant,1969-07-22,"East Nancyhaven, Pakistan",2014-07-14,"Kennethside, Malaysia"
845,Cathy Rodriguez,1950-04-08,"Katherinehaven, Lebanon",2022-05-08,"Hortontown, Tonga"
846,Elizabeth Hall,1956-02-22,"Gloriaview, Cote d'Ivoire",2011-02-24,"New Heather, Gambia"
847,Amber Harrison,1940-02-29,"Lake Dylanburgh, Burkina Faso",2006-06-05,"Mckinneybury, Mexico"
848,David Vargas,1977-04-16,"Trevorton, Anguilla",2022-06-30,"Peckview, Slovakia (Slovak Republic)"
849,Mr. Joshua Reyes Jr.,1938-10-07,"Melissaburgh, Zimbabwe",1996-06-28,"Lake Marissa, Western Sahara"
850,Brandon Grant,1981-02-13,"Thompsontown, Sao Tome and Principe",2021-08-14,"Port Lisaburgh, French Polynesia"
851,Heather George PhD,1965-11-26,"Lake Molly, Norway",2018-03-24,"South Jon, Nepal"
852,Gregory Taylor,1936-10-08,"Ericashire, Faroe Islands",2004-12-04,"Andrewside, Cameroon"
853,Nicholas Nunez,1947-11-20,"Arnoldfurt, Tuvalu",2018-07-04,"Ericport, Canada"
854,Danielle White,1980-08-08,"Simonberg, Congo",2022-09-19,"West Normashire, Saint Helena"
855,Richard Franklin,1973-05-15,"New David, Dominica",2021-04-15,"New Samantha, Palau"
856,Morgan Santos,1952-07-29,"North Kristin, Somalia",1996-06-03,"Lake Robin, Poland"
857,James Peters,1982-06-02,"Schmidttown, Hungary",2025-01-06,"Parksfurt, Dominican Republic"
858,Amber Stevenson,1940-09-14,"West Travis, Netherlands Antilles",2017-06-15,"Nicholasborough, Andorra"
859,Robert Sandoval,1943-10-30,"Kylemouth, French Guiana",2006-11-04,"West Tammyburgh, Mayotte"
860,Wesley Harper,1977-06-04,"North Kara, Guyana",2022-12-20,"Archerstad, Zambia"
